age,poverty_ratio,bmi,height_cm,gender_Male,ethnicity_Non-Hispanic Asian,ethnicity_Non-Hispanic Black,ethnicity_Non-Hispanic White,ethnicity_Other Hispanic,ethnicity_Other/Multi-Racial,education_College graduate+,education_High school/GED,education_Some college,marital_status_Living with partner,marital_status_Married,marital_status_Never married,marital_status_Widowed,bmi_category_Obese,bmi_category_Overweight,age_group_45-59,age_group_60-74,age_group_75+
0.6897473807098916,1.531085030890159,-0.6333829859488737,-1.9276630697671169,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0.6897473807098916,1.531085030890159,0.1743907810096325,-0.0094333732053965,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
1.653586207004367,0.6206697459107549,-0.359561370030736,0.2316007247918883,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1.653586207004367,1.2567133011703382,-0.783984874703849,0.0809544135435856,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1.0866221915370284,-0.6015315955684448,-0.2226505620716672,2.481252306099876,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1.4268006008174314,1.531085030890159,-0.60600082435706,-1.415465611522888,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-0.8977518625986559,-0.8322532773782939,-1.3453191873360313,0.2918592492912088,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6897473807098916,1.0883488306604487,0.0100978114587495,-0.5718462685323926,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1.4268006008174314,-1.044267795798155,0.5440499624991177,-1.6062842724374051,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.4629617745229562,0.7017341206007017,-0.0309754309289706,1.175650941947919,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1.653586207004367,-0.1400882319487471,-0.4143256932143634,-0.5919324433655013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
-1.7481978857996636,0.1093406132510897,1.1053842751313,0.1110836757932444,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
-1.2946266734257927,-0.221152606638694,0.1059353770300981,-2.0481801187657607,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-1.578108681159462,0.8576271488505997,0.0648621346423774,-0.6019755307820542,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0.4629617745229562,-0.1089096262987673,-0.4964721779898048,1.4367712147783098,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
-1.4080194765192606,0.4834838810508446,-1.030424329030173,0.2115145499587796,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.576354577616424,-1.2251037085680363,0.3386837505605145,0.0106528016277093,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0.4629617745229562,-0.6888316913883877,-0.345870289234829,-1.877447632684349,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
-1.0111446656921237,-0.9569676999782122,-0.8387491978874768,1.3564265154458806,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-1.181233870332325,0.0719262864711142,0.0374799730505637,-1.5058533982718705,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
